15,1955,dentist,1193435061
15,100365,activist,1425876220
15,100365,documentary,1425876220
15,100365,uganda,1425876220
23,150,Ron Howard,1148672905
68,2174,music,1249808064
68,2174,weird,1249808102
73,107999,action,1430799184
73,107999,anime,1430799184
73,107999,kung fu,1430799184
73,111624,drama,1431584497
73,111624,indie,1431584497
73,111624,love,1431584497
73,130682,b movie,1432523704
73,130682,comedt,1432523704
73,130682,horror,1432523704
77,1199,Trilogy of the Imagination,1163220043
77,2968,Gilliam,1163220138
77,2968,Trilogy of the Imagination,1163220039
84,296,intense,1429911417
84,296,r:violence,1429911417
84,296,tarantino,1429911417
94,1131,emotional,1291781542
94,1131,tragedy,1291781538
132,27255,No progress,1283581045
132,27255,Too slow,1283581045
132,27255,Views,1283581045
138,260,cult classic,1440379022
138,260,Science Fiction,1440379018
138,1258,cult film,1440380361
138,1258,jack nicholson,1440380355
138,1258,psychological,1440380357
138,1258,Stanley Kubrick,1440380352
138,1704,genius,1440380467
138,1704,intellectual,1440380463
138,1704,mathematics,1440380466
138,1704,psychology,1440380470
138,109487,artificial intelligence,1440379984
138,109487,Christopher Nolan,1440380001
138,109487,good science,1440379977
138,109487,interesting ideea,1440379991
138,109487,philosophical issues,1440379996
138,109487,physics,1440379925
138,109487,relativity,1440380500
138,109487,sci-fi,1440380008
138,109487,sentimental,1440379993
138,109487,space,1440379974
138,109487,time travel,1440379981
138,109487,time-travel,1440379968
149,121231,eerie,1436920551
149,121231,friendship,1436920551
149,121231,teenagers,1436920551
176,104841,sexist,1384107184
179,260,nerdy,1436669973
179,260,Science Fiction,1436669968
187,2082,Emilio Estevez,1233517175
200,260,critically acclaimed,1437932756
200,260,Science Fiction,1437932763
212,1061,emotional,1253930128
212,1061,revenge,1253930131
212,1061,true story,1253930149
212,1732,cult film,1253929373
212,1732,dark comedy,1253929372
212,1732,satirical,1253929376
212,2359,British,1253930034
212,2641,childish plot,1253930390
212,2641,plot holes,1253930395
212,2641,superhero,1253930399
212,27904,good animation,1253931241
212,27904,interesting concept - bad execution,1253931234
212,27904,surrealism,1253931244
257,3030,akira kurosawa,1338084833
257,3030,black comedy,1338084822
277,104283,anime,1463916484
297,104,adam sandler,1318706504
297,1103,overrated,1318706182
297,2502,that fat nerd is just annoying,1318706118
313,153,Ei muista,1168879424
313,293,Ei muista,1168878292
313,1036,Ei muista,1168878388
313,1042,Katso Sanna!,1146477133
313,1120,Katso Sanna!,1146477118
313,1200,Katso Sanna!,1146477102
313,1291,Ei muista,1146476308
313,1610,Katso Sanna!,1146476692
313,1617,Ei muista,1168878593
313,2273,Ei muista,1146477049
313,2329,Ei muista,1146477033
313,2600,Ei muista,1168879003
313,2985,Ei muista,1168878743
313,2989,Ei muista,1168878972
314,260,awesome,1437338154
314,260,awesome soundtrack,1437338150
314,260,jedi,1437338139
